Match#,Team1,Team2,Leg,Date,Time,Venue
281,Smouha,Wadi Degla,1,2025-11-16,17:00,Air Defense Stadium
282,Smouha,Pharco,1,2025-08-14,20:00,Borg El Arab
283,Zed,Wadi Degla,1,2025-10-27,20:00,Air Defense Stadium
284,Alexandria Union,Zamalek,2,2025-08-21,20:00,Borg El Arab
285,Future,Al Ahly,2,2025-07-07,20:00,Zed Club Stadium
286,Future,Alexandria Union,1,2025-07-11,17:00,Al Salam Stadium
287,Smouha,Al Ahly,2,2025-08-13,20:00,Military Academy Stadium
288,El Dakhleya,Talaea El Gaish,2,2025-05-02,17:00,Al Salam Stadium
289,Ceramica,Talaea El Gaish,1,2025-07-13,17:00,Zed Club Stadium
290,Wadi Degla,Alexandria Union,2,2025-08-06,17:00,Cairo Stadium
291,Masry,ENPPI,1,2025-11-09,20:00,Military Academy Stadium
292,Al Ahly,El Dakhleya,1,2025-05-30,17:00,Borg El Arab
293,Wadi Degla,Smouha,2,2026-01-06,20:00,Al Salam Stadium
294,El Dakhleya,Masry,2,2025-09-25,17:00,Air Defense Stadium
295,Alexandria Union,Ceramica,2,2025-11-12,20:00,Suez Stadium
296,Ismaily,Smouha,1,2025-05-31,17:00,El Sekka El Hadeed Stadium
297,Talaea El Gaish,Ceramica,2,2025-11-26,20:00,Air Defense Stadium
298,Zamalek,Alexandria Union,1,2025-11-09,20:00,Alexandria Stadium
299,Alexandria Union,Pyramids,2,2025-12-08,20:00,Borg El Arab
300,National Bank,Al Ahly,2,2025-09-22,20:00,Air Defense Stadium
301,El Dakhleya,Future,2,2025-05-19,20:00,Al Salam Stadium
302,National Bank,Talaea El Gaish,1,2025-06-18,17:00,Al Salam Stadium
303,Modern Sport,Talaea El Gaish,2,2025-08-14,20:00,Cairo Stadium
304,Wadi Degla,Ismaily,2,2025-05-11,17:00,Military Academy Stadium
305,Pyramids,Talaea El Gaish,1,2025-06-18,20:00,Suez Stadium
306,El Gouna,Wadi Degla,1,2025-09-21,20:00,Zed Club Stadium
